order_item_id,order_id,product_id,quantity,unit_price,total_price,customer_id,order_date,payment_method,product_name,category,price,customer_name,city,gender,age
ITEM100000,ORD13122,PROD1118,6,3123.46,18740.76,CUST4953,2023-12-02,COD,Non,Groceries,3123.46,Samarth Deshmukh,Mumbai,Other,59
ITEM100001,ORD13909,PROD1195,3,2170.32,6510.96,CUST5908,2024-10-14,COD,Excepturi,Groceries,2170.32,Kiaan Modi,Chennai,Other,51
ITEM100002,ORD22497,PROD1169,5,3218.73,16093.65,CUST1332,2025-04-18,COD,Et,Fashion,3218.73,Chasmum Singh,Chennai,Female,60
ITEM100003,ORD16957,PROD1020,5,1132.25,5661.25,CUST1180,2024-05-17,UPI,Culpa,Home,1132.25,Alexander Lalla,Bengaluru,Female,33
ITEM100004,ORD10100,PROD1160,10,2908.97,29089.7,CUST4768,2024-06-14,Card,Laborum,Groceries,2908.97,Manan Joshi,Chennai,Female,58
ITEM100005,ORD19300,PROD1069,8,1643.69,13149.52,CUST1024,2024-11-21,COD,Similique,Home,1643.69,Kevin Munshi,Mumbai,Male,48
ITEM100006,ORD18726,PROD1141,1,439.38,439.38,CUST3300,2024-09-11,Card,Officia,Fashion,439.38,Udyati Din,Bengaluru,Female,23
ITEM100007,ORD16833,PROD1082,1,3248.1,3248.1,CUST5764,2025-03-10,NetBanking,Qui,Fashion,3248.1,Janani Tank,Bengaluru,Other,29
ITEM100008,ORD16540,PROD1062,6,4075.68,24454.08,CUST4236,2025-10-05,COD,Iure,Groceries,4075.68,Qasim Ray,Hyderabad,Other,44
ITEM100009,ORD17198,PROD1035,2,4329.66,8659.32,CUST1709,2025-04-20,UPI,Rem,Home,4329.66,Warda Rajan,Mumbai,Female,57
ITEM100010,ORD15729,PROD1252,1,4092.95,4092.95,CUST3645,2025-02-04,NetBanking,Autem,Home,4092.95,Jalsa Mani,Bengaluru,Other,49
ITEM100011,ORD20748,PROD1137,10,1346.58,13465.8,CUST4286,2023-11-19,Card,Ipsam,Fashion,1346.58,Suhani Doshi,Pune,Female,57
ITEM100012,ORD22269,PROD1118,4,3123.46,12493.84,CUST4797,2023-02-18,COD,Non,Groceries,3123.46,Aryan Dyal,Bengaluru,Female,64
ITEM100013,ORD23407,PROD1235,6,1308.47,7850.82,CUST4105,2024-10-27,UPI,Ex,Electronics,1308.47,Orinder Hari,Bengaluru,Male,44
ITEM100014,ORD14542,PROD1016,4,2581.93,10327.72,CUST3813,2024-04-11,Card,Ut,Electronics,2581.93,Turvi Jain,Chennai,Male,41
ITEM100015,ORD18042,PROD1015,2,997.64,1995.28,CUST1843,2023-06-05,UPI,A,Home,997.64,Chavvi Sengupta,Chennai,Other,32
ITEM100016,ORD10122,PROD1039,8,1698.89,13591.12,CUST2389,2024-11-14,NetBanking,Earum,Electronics,1698.89,Daksha Ganguly,Chennai,Other,21
ITEM100017,ORD13750,PROD1178,5,3893.15,19465.75,CUST1889,2024-07-15,Card,Deleniti,Electronics,3893.15,Rohan Kalla,Hyderabad,Other,26
ITEM100018,ORD15233,PROD1285,3,4189.26,12567.78,CUST1333,2023-05-29,NetBanking,Consectetur,Groceries,4189.26,Vansha Nagi,Mumbai,Male,22
ITEM100019,ORD23688,PROD1201,2,1725.94,3451.88,CUST3801,2024-02-12,UPI,Libero,Home,1725.94,Indali Mitra,Mumbai,Female,30
ITEM100020,ORD21331,PROD1229,5,1233.33,6166.65,CUST1025,2025-01-10,Card,Saepe,Fashion,1233.33,Kiaan Chander,Pune,Male,34
ITEM100021,ORD16809,PROD1259,6,3411.14,20466.84,CUST4100,2025-08-09,NetBanking,Occaecati,Home,3411.14,Ekanta Dubey,Bengaluru,Male,54
ITEM100022,ORD21303,PROD1119,6,1981.72,11890.32,CUST5395,2025-01-17,UPI,Laudantium,Groceries,1981.72,Samaksh Kade,Chennai,Male,40
ITEM100023,ORD19841,PROD1038,9,2632.72,23694.48,CUST1086,2023-01-04,NetBanking,Ex,Groceries,2632.72,Benjamin Bhatt,Bengaluru,Other,48
ITEM100024,ORD22021,PROD1191,9,1130.89,10178.01,CUST1175,2024-01-04,Card,Quae,Groceries,1130.89,Udyati Nadig,Hyderabad,Female,56
ITEM100025,ORD17179,PROD1170,8,3691.51,29532.08,CUST2269,2024-05-01,NetBanking,Blanditiis,Groceries,3691.51,Max Aurora,Mumbai,Male,31
ITEM100026,ORD12896,PROD1139,8,2449.39,19595.12,CUST2756,2023-05-15,Card,Eligendi,Home,2449.39,Ishani Bhatia,Mumbai,Female,41
ITEM100027,ORD22958,PROD1159,9,1271.03,11439.27,CUST1025,2023-01-20,Card,Consequatur,Groceries,1271.03,Kiaan Chander,Pune,Male,34
ITEM100028,ORD19033,PROD1218,5,4863.62,24318.1,CUST5553,2023-12-16,UPI,Debitis,Home,4863.62,Panini Bhardwaj,Chennai,Female,49
ITEM100029,ORD15057,PROD1094,1,3929.4,3929.4,CUST2490,2024-07-24,UPI,Minus,Fashion,3929.4,Diya Brar,Hyderabad,Other,33
ITEM100030,ORD21645,PROD1069,4,1643.69,6574.76,CUST4966,2024-01-17,UPI,Similique,Home,1643.69,Gunbir Sethi,Bengaluru,Male,39
ITEM100031,ORD11423,PROD1082,10,3248.1,32481.0,CUST2511,2025-08-26,COD,Qui,Fashion,3248.1,Rushil Sandal,Pune,Male,64
ITEM100032,ORD22025,PROD1083,1,3887.08,3887.08,CUST3116,2023-01-10,Card,Reiciendis,Fashion,3887.08,Kashvi Dalal,Hyderabad,Other,22
ITEM100033,ORD24456,PROD1016,2,2581.93,5163.86,CUST5674,2024-12-09,Card,Ut,Electronics,2581.93,Chatura Manda,Bengaluru,Other,42
ITEM100034,ORD15784,PROD1272,5,2463.29,12316.45,CUST5528,2024-05-02,Card,Accusamus,Home,2463.29,Sara Nagi,Pune,Other,50
ITEM100035,ORD10564,PROD1088,5,2929.74,14648.7,CUST2703,2023-03-23,NetBanking,Officia,Home,2929.74,Watika Varughese,Mumbai,Female,54
ITEM100036,ORD15379,PROD1049,10,4206.01,42060.1,CUST1683,2023-10-31,Card,Veniam,Fashion,4206.01,Shravya Memon,Hyderabad,Male,18
ITEM100037,ORD20739,PROD1134,6,626.82,3760.92,CUST2016,2024-06-01,Card,Sapiente,Fashion,626.82,Isha Wali,Chennai,Male,58
ITEM100038,ORD18152,PROD1065,1,1387.72,1387.72,CUST1907,2025-08-30,NetBanking,Minima,Groceries,1387.72,Vedant Ramesh,Hyderabad,Female,41
ITEM100039,ORD10771,PROD1085,3,3549.13,10647.39,CUST2313,2025-03-30,COD,Suscipit,Home,3549.13,Ayush Bains,Bengaluru,Female,38
ITEM100040,ORD21048,PROD1117,7,400.72,2805.04,CUST1512,2023-10-28,UPI,Sapiente,Electronics,400.72,Nidhi Varty,Bengaluru,Male,20
ITEM100041,ORD15516,PROD1285,3,4189.26,12567.78,CUST5462,2023-02-14,UPI,Consectetur,Groceries,4189.26,Arunima Nadig,Hyderabad,Male,52
ITEM100042,ORD17219,PROD1059,8,404.16,3233.28,CUST5691,2024-12-13,UPI,Nam,Fashion,404.16,Maanav Iyengar,Pune,Other,55
ITEM100043,ORD10152,PROD1278,1,1283.03,1283.03,CUST2939,2024-10-26,UPI,Commodi,Electronics,1283.03,Tanmayi Lata,Bengaluru,Female,29
ITEM100044,ORD17283,PROD1105,8,1349.39,10795.12,CUST1708,2024-10-21,UPI,Aliquam,Electronics,1349.39,Ekansh Chhabra,Mumbai,Male,26
ITEM100045,ORD21622,PROD1166,10,699.22,6992.2,CUST4597,2025-06-23,UPI,Dolor,Electronics,699.22,Pavani Devan,Hyderabad,Female,28
ITEM100046,ORD22323,PROD1172,1,3825.69,3825.69,CUST3523,2024-01-24,UPI,Dignissimos,Home,3825.69,Parth Bhattacharyya,Mumbai,Female,40
ITEM100047,ORD16189,PROD1158,4,4347.46,17389.84,CUST1218,2025-05-11,UPI,Assumenda,Home,4347.46,Devansh Bora,Hyderabad,Other,42
ITEM100048,ORD17738,PROD1020,4,1132.25,4529.0,CUST3358,2023-12-14,NetBanking,Culpa,Home,1132.25,Ekansh Swamy,Bengaluru,Female,36
ITEM100049,ORD10404,PROD1115,3,4280.26,12840.78,CUST5782,2023-06-16,Card,Labore,Fashion,4280.26,Ekbal Rajan,Hyderabad,Other,58
ITEM100050,ORD23640,PROD1114,9,3339.09,30051.81,CUST1335,2023-01-19,NetBanking,Dolore,Home,3339.09,Aahana Bali,Pune,Other,49
ITEM100051,ORD11812,PROD1265,2,2046.66,4093.32,CUST5124,2023-06-04,NetBanking,Provident,Groceries,2046.66,Madhavi Menon,Pune,Female,57
ITEM100052,ORD15008,PROD1160,3,2908.97,8726.91,CUST5450,2024-08-30,NetBanking,Laborum,Groceries,2908.97,Zansi Sen,Mumbai,Other,33
ITEM100053,ORD12605,PROD1191,9,1130.89,10178.01,CUST5923,2023-01-04,Card,Quae,Groceries,1130.89,Barkha Bala,Mumbai,Other,56
ITEM100054,ORD20829,PROD1277,2,4533.34,9066.68,CUST1481,2025-02-09,UPI,Vitae,Fashion,4533.34,Vivaan Bail,Pune,Female,22
ITEM100055,ORD16226,PROD1273,4,612.55,2450.2,CUST5017,2025-02-09,NetBanking,Consequuntur,Groceries,612.55,Vritti Peri,Mumbai,Other,53
ITEM100056,ORD19049,PROD1001,2,645.25,1290.5,CUST4128,2024-12-24,COD,Eaque,Home,645.25,Abhimanyu Buch,Mumbai,Other,24
ITEM100057,ORD12250,PROD1085,4,3549.13,14196.52,CUST5264,2022-12-11,Card,Suscipit,Home,3549.13,Qushi Vora,Bengaluru,Female,25
ITEM100058,ORD16581,PROD1085,7,3549.13,24843.91,CUST2454,2023-03-29,NetBanking,Suscipit,Home,3549.13,Diya Bhatt,Mumbai,Female,63
ITEM100059,ORD16548,PROD1231,4,666.04,2664.16,CUST1555,2024-04-22,UPI,Veritatis,Home,666.04,Jason Salvi,Pune,Other,52
ITEM100060,ORD18664,PROD1161,4,2227.52,8910.08,CUST2013,2023-04-28,UPI,Natus,Groceries,2227.52,Priya Agate,Bengaluru,Male,55
ITEM100061,ORD14882,PROD1070,5,1262.34,6311.7,CUST3248,2025-11-14,NetBanking,Neque,Home,1262.34,Advaith Bahri,Hyderabad,Other,53
ITEM100062,ORD17152,PROD1249,3,3106.19,9318.57,CUST5023,2023-07-25,NetBanking,Quis,Electronics,3106.19,Oni Oak,Bengaluru,Female,39
ITEM100063,ORD24559,PROD1275,3,4493.4,13480.2,CUST1831,2022-12-29,COD,Nisi,Home,4493.4,Jeet Chad,Hyderabad,Male,53
ITEM100064,ORD10145,PROD1166,9,699.22,6292.98,CUST2532,2025-10-13,UPI,Dolor,Electronics,699.22,Om Memon,Hyderabad,Female,43
ITEM100065,ORD24988,PROD1070,9,1262.34,11361.06,CUST1637,2024-09-26,UPI,Neque,Home,1262.34,Eta Taneja,Mumbai,Female,58
ITEM100066,ORD22400,PROD1282,4,2895.52,11582.08,CUST2611,2023-12-03,Card,Nemo,Groceries,2895.52,Rachit Narain,Hyderabad,Other,23
ITEM100067,ORD13214,PROD1249,8,3106.19,24849.52,CUST5908,2023-01-29,UPI,Quis,Electronics,3106.19,Kiaan Modi,Chennai,Other,51
ITEM100068,ORD18316,PROD1089,4,3456.71,13826.84,CUST4415,2024-05-10,NetBanking,Illum,Groceries,3456.71,Utkarsh Balakrishnan,Pune,Other,19
ITEM100069,ORD21250,PROD1214,9,740.61,6665.49,CUST5964,2025-04-02,Card,Ipsam,Groceries,740.61,Nimrat Walla,Chennai,Male,26
ITEM100070,ORD24898,PROD1078,8,2486.64,19893.12,CUST4548,2025-05-29,UPI,Maiores,Electronics,2486.64,Girish Puri,Mumbai,Other,64
ITEM100071,ORD18138,PROD1157,6,1721.69,10330.14,CUST1281,2023-11-02,COD,Temporibus,Home,1721.69,Krisha Kata,Hyderabad,Female,63
ITEM100072,ORD12329,PROD1116,10,2606.82,26068.2,CUST5247,2023-04-17,NetBanking,Eaque,Electronics,2606.82,Samuel Ram,Hyderabad,Other,65
ITEM100073,ORD18993,PROD1180,9,282.77,2544.93,CUST3859,2022-12-15,Card,Dignissimos,Home,282.77,Vanya Yohannan,Bengaluru,Male,57
ITEM100074,ORD18511,PROD1106,5,884.73,4423.65,CUST5607,2025-04-10,Card,Odio,Home,884.73,Rachit Arora,Hyderabad,Other,24
ITEM100075,ORD24462,PROD1008,10,4741.88,47418.8,CUST4311,2024-05-15,COD,Officia,Fashion,4741.88,Nidra Varma,Pune,Other,65
ITEM100076,ORD14044,PROD1282,7,2895.52,20268.64,CUST1788,2025-08-19,NetBanking,Nemo,Groceries,2895.52,Oni Kohli,Chennai,Male,59
ITEM100077,ORD13004,PROD1269,7,1436.17,10053.19,CUST5843,2025-03-20,Card,Neque,Electronics,1436.17,Warjas Sandal,Bengaluru,Female,35
ITEM100078,ORD19100,PROD1273,3,612.55,1837.65,CUST4270,2024-07-30,UPI,Consequuntur,Groceries,612.55,Amara Malhotra,Chennai,Male,31
ITEM100079,ORD13258,PROD1185,8,3546.21,28369.68,CUST4828,2024-11-29,NetBanking,Officiis,Groceries,3546.21,Madhav Iyer,Hyderabad,Female,41
ITEM100080,ORD13909,PROD1132,7,3538.86,24772.02,CUST5908,2024-10-14,COD,Inventore,Groceries,3538.86,Kiaan Modi,Chennai,Other,51
ITEM100081,ORD15245,PROD1202,7,1253.59,8775.13,CUST1056,2023-05-21,Card,Velit,Fashion,1253.59,Gautami Deo,Chennai,Male,62
ITEM100082,ORD23040,PROD1002,1,2372.41,2372.41,CUST3495,2023-12-21,COD,Blanditiis,Fashion,2372.41,Naksh Bakshi,Bengaluru,Other,64
ITEM100083,ORD16681,PROD1088,3,2929.74,8789.22,CUST2308,2024-02-26,Card,Officia,Home,2929.74,Pranav Suri,Chennai,Female,22
ITEM100084,ORD22768,PROD1135,2,4872.38,9744.76,CUST2610,2023-04-14,NetBanking,Quaerat,Electronics,4872.38,Ayush Bakshi,Pune,Male,25
ITEM100085,ORD10220,PROD1225,1,2079.31,2079.31,CUST2110,2022-12-29,Card,Itaque,Home,2079.31,Saksham Menon,Pune,Male,41
ITEM100086,ORD17524,PROD1187,1,1486.93,1486.93,CUST3987,2025-04-28,COD,Expedita,Electronics,1486.93,Yoshita Sani,Hyderabad,Female,33
ITEM100087,ORD23515,PROD1063,4,4507.89,18031.56,CUST3261,2023-04-22,Card,Voluptate,Fashion,4507.89,Ishita Jha,Bengaluru,Male,48
ITEM100088,ORD19343,PROD1063,6,4507.89,27047.34,CUST3063,2025-08-22,NetBanking,Voluptate,Fashion,4507.89,Jhalak Ganguly,Chennai,Male,30
